imageLink,location,price
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7891/thimg_viber_image_2022-10-07_11-16-53-877_360x246.webp?lossy=1&strip=1&webp=1,"Sisuwa, Ward No. 27, Pokhara Metropolitan City, Kaski, Gandaki Pradesh Nepal",5500000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7889/thimg_1_360x246.webp?lossy=1&strip=1&webp=1,"Gondrang, Ward No. 9, Bharatpur Metropolitan City, Chitwan, Bagmati Nepal",15400000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7883/thimg_viber_image_2022-09-21_13-05-08-890_360x246.webp?lossy=1&strip=1&webp=1,"Dadako Nag, Ward No. 27, Pokhara Metropolitan City, Kaski, Gandaki Pradesh Nepal",7000000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7879/thimg_1663319451264-2-_360x246.webp?lossy=1&strip=1&webp=1,"Ward No.8, Lalitpur Metropolitan City, Lalitpur, Bagmati Nepal",26950000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7874/thimg_1_360x246.webp?lossy=1&strip=1&webp=1,"OM Shanti Tole, Ward No. 5, Suryabinayak Municipality, Bhaktapur, Bagmati Nepal",0
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7872/thimg_IMG_3222-1-_360x246.webp?lossy=1&strip=1&webp=1,"Radhe Radhe, Ward No.9, Madhyapur Thimi Municipality, Bhaktapur, Bagmati Nepal",18000000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7871/thimg_IMG_9166-2-_360x246.webp?lossy=1&strip=1&webp=1,"Baraghare, Ward No. 4, Bharatpur Metropolitan City, Chitwan, Bagmati Nepal",9000000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7870/thimg_1_360x246.webp?lossy=1&strip=1&webp=1,"Jirauna, Ward No. 11, Ratnanagar Municipality, Chitwan, Bagmati Nepal",3800000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7869/thimg_IMG_3204-2-_360x246.webp?lossy=1&strip=1&webp=1,"Kapan, Ward No. 11, Budhanilkantha Nagarpalika, Kathmandu, Bagmati Nepal",11700000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7868/thimg_1_360x246.webp?lossy=1&strip=1&webp=1,"Baikuntha Tole, Ward No. 4, Bharatpur Metropolitan City, Chitwan, Bagmati Nepal",11000000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7866/thimg_1_360x246.webp?lossy=1&strip=1&webp=1,"Tiger Chowk, Ward No. 5, Bharatpur Metropolitan City, Chitwan, Bagmati Nepal",6500000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7865/thimg_1_360x246.webp?lossy=1&strip=1&webp=1,"Prembasti, Ward No. 5, Bharatpur Metropolitan City, Chitwan, Bagmati Nepal",5200000
